,Date,Open,High,Low,Close,Volume,Adj Close
0,2012-01-03,409.39996,412.5,409.0,411.22998,75555200,55.41362
1,2012-01-04,410.0,414.68002,409.28,413.44,65005500,55.71143000000001
2,2012-01-05,414.94998,418.55002,412.67004,418.03,67817400,56.32993
3,2012-01-06,419.76999000000006,422.75003,419.2199700000001,422.40002,79573200,56.9188
4,2012-01-09,425.49997,427.74997,421.35001,421.72998,98506100,56.82851
5,2012-01-10,425.91003,425.99997,421.50003,423.24002,64549100,57.03199
6,2012-01-11,422.67999,422.84998,419.31,422.55002,53771200,56.93901
7,2012-01-12,422.27997,422.90002,418.75,421.38998,53146800,56.78269
8,2012-01-13,419.69998,420.45001,418.66,419.81,56505400,56.56979000000001
9,2012-01-17,424.19998,425.98996,422.96002,424.70001,60724300,57.22872
10,2012-01-18,426.96002,429.47003,426.30002,429.11002,69197800,57.82297
11,2012-01-19,430.14999000000006,431.37003,426.51001,427.74997,65434600,57.63971
12,2012-01-20,427.48999,427.5,419.75003,420.30002,103493600,56.63581
13,2012-01-23,422.67001,428.44998,422.29999,427.41,76515600,57.59389
14,2012-01-24,425.09998,425.09998,419.54999,420.41,136909500,56.65064
15,2012-01-25,454.44,454.45001,443.72998,446.66,239578500,60.18785
16,2012-01-26,448.36002,448.79004,443.13995,444.63,80996300,59.9143
17,2012-01-27,444.33997,448.48001,443.76996,447.27997,74927300,60.27139
18,2012-01-30,445.71002,453.89999000000006,445.38998,453.01001,94835300,61.04352
19,2012-01-31,455.59003,458.24002,453.07001,456.48004,97920900,61.51111
20,2012-02-01,458.40997,458.98999,455.54999,456.19,67511500,61.47201999999999
21,2012-02-02,455.89999000000006,457.16998,453.98001,455.12,46699100,61.32784
22,2012-02-03,457.29999,460.0,455.56,459.67999,71649900,61.94231
23,2012-02-06,458.38,464.97998,458.19995,463.97003,62353200,62.52039
24,2012-02-07,465.25,469.74997,464.57999,468.82996,79055900,63.17527
25,2012-02-08,470.5,476.79004,469.69998,476.67996,101972500,64.23307
26,2012-02-09,480.76001,496.75,480.56,493.17001,221053700,66.45512
